turbine,controllertime,modifiedtime,turok,atpwrin,atpwrout,reactpwrin,reactpwrout
"B265733B-B415-4DA1-B9C6-681D478C90E4","2024-02-15T23:50:00","2024-02-15T18:23:00",99258.0,10270.0,19760818.0,576715.0,1029961.0
"6EF82797-7DE2-442C-B5C4-684EE5DC7A4F","2024-02-15T23:30:00","2024-02-15T18:18:00",78822.1,53013.0,23871782.0,457234.0,586862.0
"75DAEEDF-F1F6-4BC0-A06E-69C1840B00AE","2024-02-15T23:50:00","2024-02-15T18:23:00",101853.9,9929.0,18812185.0,472112.0,1043545.0
"FE0BBDF5-E5CC-430C-A4A8-6A0BD03FE599","2024-02-15T23:40:00","2024-02-15T18:20:00",120402.8,45024.0,34532844.0,476504.0,921235.0
"C823B2AE-0A70-4435-BEA1-6B5370D1BA2C","2024-02-15T23:40:00","2024-02-15T18:20:00",129722.8,31886.0,39095715.0,701557.0,1006330.0
"3A66E13F-DA23-451B-808B-6BB477F0953E","2024-02-15T23:40:00","2024-02-15T18:19:00",118677.1,17679.0,38815662.0,723436.0,2399796.0
"08225385-2C81-40AE-84BE-6D17D1A53B7F","2024-02-15T23:40:00","2024-02-15T18:18:00",118323.2,38616.0,43675093.0,1002150.0,1869272.0
"BD64927D-91D8-4258-8514-6D5DC96625A1","2024-02-15T23:40:00","2024-02-15T18:20:00",119855.1,40242.0,39428453.0,779367.0,886367.0
"EF695499-75FA-4D01-8F9A-6D8CC0499FB5","2024-02-15T23:40:00","2024-02-15T18:25:00",111746.8,31903.0,38966431.0,538855.0,1531092.0
"EF695499-75FA-4D01-8F9A-6D8CC0499FB5","2024-02-15T23:50:00","2024-02-15T18:25:00",111746.9,31903.0,38966481.0,538856.0,1531094.0
"BEA65232-0B35-4CC4-82BC-6DDBF58F716F","2024-02-15T23:40:00","2024-02-15T18:19:00",93317.3,33017.0,40412235.0,1094864.0,1230012.0
